league,season,team,player,nation,pos,age,born,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10
ENG-Premier League,2024 - 2025,Everton,James Tarkowski,ENG,DF,31,1992,-0.82049716,-0.59735066,-0.6508404,-0.16232502,-0.08583566,-0.43440953,0.8894408,0.24379444,-0.33933944,-0.09407785
ENG-Premier League,2024 - 2025,Everton,Jarrad Branthwaite,ENG,DF,22,2002,-0.72906834,-0.52917033,-0.68713796,-0.28184724,-0.27342382,-0.45611003,0.8419728,0.19843513,0.16159268,-0.24073905
ENG-Premier League,2024 - 2025,Everton,Jesper Lindstrøm,DEN,FW,24,2000,-0.70350075,-0.15759303,-0.36603582,-0.2609947,-0.5954879,0.28771466,0.77879953,-0.069052696,0.35594013,-0.70414776
ENG-Premier League,2024 - 2025,Everton,Michael Keane,ENG,DF,31,1993,-0.74558556,-0.5643223,-0.60323685,-0.4406124,0.23441273,0.20510474,0.71369946,-0.20836137,0.55803746,-0.2929748
ENG-Premier League,2024 - 2025,Everton,Orel Mangala,BEL,MF,26,1998,-0.6900472,-0.077428676,-0.4890696,-0.5094249,-0.2436906,0.037530128,0.7958515,0.34472993,0.537677,-0.5426836
ENG-Premier League,2024 - 2025,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,-0.6233787,-0.05621151,-0.6305835,0.18820588,-0.316057,-0.108371735,0.7956977,-0.25487942,0.025269428,-0.4013784
ENG-Premier League,2024 - 2025,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,-0.13698062,-0.15640344,-0.19134815,0.0025208613,-0.48579663,-0.2839459,0.90969914,0.100403376,0.40812758,-0.58673114
ENG-Premier League,2024 - 2025,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,-0.17036448,0.42263168,-0.08804748,0.3502159,-0.099960744,-0.29513958,0.9075336,-0.2593368,-0.111938104,-0.17047496
ENG-Premier League,2024 - 2025,Fulham,Antonee Robinson,USA,DF,26,1997,-0.032902904,0.35107562,-0.7151931,0.42276695,-0.7746492,-0.3981478,0.84491503,-0.20977315,-0.4874576,-0.38282993
ENG-Premier League,2024 - 2025,Fulham,Calvin Bassey,NGA,DF,24,1999,-0.66060644,0.08273722,-0.7510183,-0.20790966,-0.29208186,-0.5402357,0.77777,0.12605774,-0.09261112,0.03230179
ENG-Premier League,2024 - 2025,Fulham,Emile Smith Rowe,ENG,MF,24,2000,-0.2996636,0.061795287,-0.38847765,-0.40545088,-0.21595885,-0.022386512,0.7288527,0.0687431,0.15099655,-0.44231027
ENG-Premier League,2024 - 2025,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,-0.47399724,-0.09457549,-0.22678621,-0.3306814,-0.088846356,0.3936532,0.73947304,0.060849417,0.42332715,-0.6592245
ENG-Premier League,2024 - 2025,Fulham,Issa Diop,FRA,DF,27,1997,-0.7606092,-0.57147527,-0.65537715,-0.5434505,-0.2693521,-0.27803624,0.92346555,0.21886262,0.51764864,-0.3126463
ENG-Premier League,2024 - 2025,Fulham,Joachim Andersen,DEN,DF,28,1996,-0.79572487,-0.3996545,-0.62395793,-0.0007670632,-0.11612496,-0.24967353,0.7974067,0.5650171,0.029411213,0.2857818
ENG-Premier League,2024 - 2025,Fulham,Kenny Tete,NED,DF,28,1995,-0.5456824,-0.16425699,-0.60121626,-0.36268502,-0.5320193,-0.067171074,0.8383945,0.11877931,0.19268799,-0.5968917
ENG-Premier League,2024 - 2025,Fulham,Raúl Jiménez,MEX,FW,33,1991,-0.48407423,-0.09154274,-0.049109653,-0.36166283,-0.30795974,0.05278703,0.38897625,0.17456745,-0.096235335,-0.65929884
ENG-Premier League,2024 - 2025,Fulham,Rodrigo Muniz,BRA,FW,23,2001,-0.3795863,-0.49082047,0.15833698,-0.5940751,0.25465488,0.320105,0.811168,0.20717433,0.49473783,-0.82696056
