league,season,team,player,nation,age,born,preferred_foot,pos,cluster,Dominant_Role_in_Cluster
ENG-Premier League,2024 - 2025,Wolves,Matheus Cunha,BRA,25,1999,Right,CAM,11,ST
ENG-Premier League,2024 - 2025,Wolves,Matt Doherty,IRL,32,1992,Right,CB,4,CB
ENG-Premier League,2024 - 2025,Wolves,Nélson Semedo,POR,30,1993,Right,RB,13,LB
ENG-Premier League,2024 - 2025,Wolves,Rayan Aït-Nouri,ALG,23,2001,Left,LB,13,LB
ENG-Premier League,2024 - 2025,Wolves,Santiago Bueno,URU,25,1998,Right,CB,8,CB
ESP-La Liga,2024 - 2025,Alavés,Ander Guevara,ESP,27,1997,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Alavés,Antonio Blanco,ESP,24,2000,Right,CDM,2,CDM
ESP-La Liga,2024 - 2025,Alavés,Carlos Martín,ESP,22,2002,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Alavés,Carlos Vicente,ESP,25,1999,Right,RM,0,RM
ESP-La Liga,2024 - 2025,Alavés,Joan Jordán,ESP,30,1994,Right,CM,19,CM
ESP-La Liga,2024 - 2025,Alavés,Manu Sánchez,ESP,23,2000,Left,LB,2,CDM
ESP-La Liga,2024 - 2025,Alavés,Nahuel Tenaglia,ARG,28,1996,Right,RB,2,CDM
ESP-La Liga,2024 - 2025,Alavés,Santiago Mouriño,URU,22,2002,Right,CB,1,CDM
ESP-La Liga,2024 - 2025,Alavés,Toni Martínez,ESP,27,1997,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Athletic Club,Aitor Paredes,ESP,24,2000,Right,CB,8,CB
ESP-La Liga,2024 - 2025,Athletic Club,Beñat Prados,ESP,23,2001,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Athletic Club,Iñaki Williams,GHA,30,1994,Right,RM,0,RM
ESP-La Liga,2024 - 2025,Athletic Club,Nico Williams,ESP,22,2002,Right,LM,0,RM
ESP-La Liga,2024 - 2025,Athletic Club,Unai Gómez,ESP,21,2003,Left,CAM,12,ST
ESP-La Liga,2024 - 2025,Athletic Club,Yuri Berchiche,ESP,34,1990,Left,LB,5,CDM
ESP-La Liga,2024 - 2025,Athletic Club,Álex Berenguer,ESP,29,1995,Right,LM,0,RM
ESP-La Liga,2024 - 2025,Atlético Madrid,Alexander Sørloth,NOR,28,1995,Left,ST,17,ST
ESP-La Liga,2024 - 2025,Atlético Madrid,Antoine Griezmann,FRA,33,1991,Left,ST,9,CAM
ESP-La Liga,2024 - 2025,Atlético Madrid,Clément Lenglet,FRA,29,1995,Left,CB,15,CB
ESP-La Liga,2024 - 2025,Atlético Madrid,Conor Gallagher,ENG,24,2000,Right,CM,19,CM
ESP-La Liga,2024 - 2025,Atlético Madrid,Giuliano Simeone,ARG,21,2002,Right,RM,16,RM
ESP-La Liga,2024 - 2025,Atlético Madrid,José María Giménez,URU,29,1995,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Atlético Madrid,Julián Álvarez,ARG,24,2000,Right,ST,11,ST
ESP-La Liga,2024 - 2025,Atlético Madrid,Koke,ESP,32,1992,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Atlético Madrid,Marcos Llorente,ESP,29,1995,Right,RB,13,LB
ESP-La Liga,2024 - 2025,Atlético Madrid,Nahuel Molina,ARG,26,1998,Right,RB,18,LB
ESP-La Liga,2024 - 2025,Atlético Madrid,Pablo Barrios,ESP,21,2003,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Atlético Madrid,Robin Le Normand,ESP,27,1996,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Atlético Madrid,Rodrigo De Paul,ARG,30,1994,Right,CM,7,CM
ESP-La Liga,2024 - 2025,Barcelona,Dani Olmo,ESP,26,1998,Right,CAM,11,ST
ESP-La Liga,2024 - 2025,Barcelona,Eric García,ESP,23,2001,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Barcelona,Ferrán Torres,ESP,24,2000,Right,LW,3,ST
ESP-La Liga,2024 - 2025,Barcelona,Frenkie de Jong,NED,27,1997,Right,CM,19,CM
ESP-La Liga,2024 - 2025,Barcelona,Gavi,ESP,19,2004,Right,CM,19,CM
ESP-La Liga,2024 - 2025,Barcelona,Gerard Martín,ESP,22,2002,Left,LB,8,CB
ESP-La Liga,2024 - 2025,Barcelona,Iñigo Martínez,ESP,33,1991,Left,CB,15,CB
ESP-La Liga,2024 - 2025,Barcelona,Jules Koundé,FRA,25,1998,Right,RB,7,CM
ESP-La Liga,2024 - 2025,Barcelona,Lamine Yamal,ESP,17,2007,Left,RM,0,RM
ESP-La Liga,2024 - 2025,Barcelona,Marc Casado,ESP,20,2003,Right,CDM,5,CDM
ESP-La Liga,2024 - 2025,Barcelona,Pedri,ESP,21,2002,Right,CM,7,CM
ESP-La Liga,2024 - 2025,Barcelona,Raphinha,BRA,27,1996,Left,LM,9,CAM
ESP-La Liga,2024 - 2025,Barcelona,Robert Lewandowski,POL,35,1988,Right,ST,17,ST
ESP-La Liga,2024 - 2025,Betis,Aitor Ruibal,ESP,28,1996,Right,RB,14,CM
ESP-La Liga,2024 - 2025,Betis,Antony,BRA,24,2000,Left,RW,0,RM
ESP-La Liga,2024 - 2025,Betis,Cucho,COL,25,1999,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Betis,Diego Llorente,ESP,30,1993,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Betis,Giovani Lo Celso,ARG,28,1996,Left,CAM,11,ST
ESP-La Liga,2024 - 2025,Betis,Isco,ESP,32,1992,Right,CAM,9,CAM
ESP-La Liga,2024 - 2025,Betis,Jesus Rodríguez,ESP,18,2005,Right,LM,12,ST
ESP-La Liga,2024 - 2025,Betis,Johnny Cardoso,USA,22,2001,Right,CDM,2,CDM
ESP-La Liga,2024 - 2025,Betis,Marc Bartra,ESP,33,1991,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Betis,Marc Roca,ESP,27,1996,Left,CDM,19,CM
ESP-La Liga,2024 - 2025,Betis,Natan,BRA,23,2001,Left,CB,4,CB
ESP-La Liga,2024 - 2025,Betis,Pablo Fornals,ESP,28,1996,Right,CDM,18,LB
ESP-La Liga,2024 - 2025,Betis,Ricardo Rodríguez,SUI,31,1992,Left,LB,14,CM
ESP-La Liga,2024 - 2025,Betis,Romain Perraud,FRA,26,1997,Left,LB,18,LB
ESP-La Liga,2024 - 2025,Celta Vigo,Alfon,ESP,25,1999,Right,RM,16,RM
ESP-La Liga,2024 - 2025,Celta Vigo,Borja Iglesias,ESP,31,1993,Right,ST,17,ST
ESP-La Liga,2024 - 2025,Celta Vigo,Carl Starfelt,SWE,29,1995,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Celta Vigo,Carlos Dominguez,ESP,23,2001,Left,CB,10,CB
ESP-La Liga,2024 - 2025,Celta Vigo,Fran Beltrán,ESP,25,1999,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Celta Vigo,Hugo Álvarez,ESP,21,2003,Right,LM,16,RM
ESP-La Liga,2024 - 2025,Celta Vigo,Iago Aspas,ESP,36,1987,Left,RW,11,ST
ESP-La Liga,2024 - 2025,Celta Vigo,Ilaix Moriba,GUI,21,2003,Right,CM,2,CDM
ESP-La Liga,2024 - 2025,Celta Vigo,Javi Rodríguez,ESP,21,2003,Right,RB,15,CB
ESP-La Liga,2024 - 2025,Celta Vigo,Marcos Alonso,ESP,33,1990,Left,CB,15,CB
ESP-La Liga,2024 - 2025,Celta Vigo,Pablo Durán,ESP,23,2001,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Celta Vigo,Williot Swedberg,SWE,20,2004,Right,LW,3,ST
ESP-La Liga,2024 - 2025,Espanyol,Alejo Véliz,ARG,20,2003,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Espanyol,Alex Král,CZE,26,1998,Right,CM,1,CDM
ESP-La Liga,2024 - 2025,Espanyol,Carlos Romero,ESP,22,2001,Left,LB,2,CDM
ESP-La Liga,2024 - 2025,Espanyol,Edu Expósito,ESP,27,1996,Right,CAM,14,CM
ESP-La Liga,2024 - 2025,Espanyol,Jofre,ESP,23,2001,Right,RM,16,RM
ESP-La Liga,2024 - 2025,Espanyol,Leandro Cabrera,URU,33,1991,Left,CB,4,CB
ESP-La Liga,2024 - 2025,Espanyol,Marash Kumbulla,ALB,24,2000,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Espanyol,Pol Lozano,ESP,24,1999,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Espanyol,Urko González,ESP,23,2001,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Getafe,Alex Sola,ESP,25,1999,Right,RM,12,ST
ESP-La Liga,2024 - 2025,Getafe,Bertuğ Yıldırım,TUR,22,2002,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Getafe,Borja Mayoral,ESP,27,1997,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Getafe,Coba da Costa,ESP,22,2002,Right,LM,12,ST
ESP-La Liga,2024 - 2025,Getafe,Diego Rico,ESP,31,1993,Left,LB,13,LB
ESP-La Liga,2024 - 2025,Getafe,Luis Milla,ESP,29,1994,Right,CM,13,LB
ESP-La Liga,2024 - 2025,Getafe,Mauro Arambarri,URU,28,1995,Right,CM,17,ST
ESP-La Liga,2024 - 2025,Getafe,Omar Alderete,PAR,27,1996,Left,CB,4,CB
ESP-La Liga,2024 - 2025,Girona,Abel Ruiz,ESP,24,2000,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Girona,Arnau Martinez,ESP,21,2003,Right,RB,5,CDM
ESP-La Liga,2024 - 2025,Girona,Arnaut Danjuma,NED,27,1997,Right,LM,6,RM
ESP-La Liga,2024 - 2025,Girona,Bryan Gil,ESP,23,2001,Left,LM,0,RM
ESP-La Liga,2024 - 2025,Girona,Cristhian Stuani,URU,37,1986,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Girona,Daley Blind,NED,34,1990,Left,CB,7,CM
ESP-La Liga,2024 - 2025,Girona,David López,ESP,34,1989,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Girona,Donny van de Beek,NED,27,1997,Right,CAM,12,ST
ESP-La Liga,2024 - 2025,Girona,Iván Martín,ESP,25,1999,Left,CM,5,CDM
ESP-La Liga,2024 - 2025,Girona,Ladislav Krejčí,CZE,25,1999,Left,CB,15,CB
ESP-La Liga,2024 - 2025,Girona,Miguel Gutiérrez,ESP,23,2001,Left,LB,13,LB
ESP-La Liga,2024 - 2025,Girona,Yangel Herrera,VEN,26,1998,Right,CM,2,CDM
ESP-La Liga,2024 - 2025,Girona,Yaser Asprilla,COL,20,2003,Left,RM,16,RM
ESP-La Liga,2024 - 2025,Las Palmas,Dario Essugo,POR,19,2005,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Las Palmas,Fábio Silva,POR,22,2002,Right,ST,17,ST
ESP-La Liga,2024 - 2025,Las Palmas,Stefan Bajcetic,ESP,19,2004,Right,CDM,8,CB
ESP-La Liga,2024 - 2025,Las Palmas,Álex Muñoz,ESP,30,1994,Left,LB,8,CB
ESP-La Liga,2024 - 2025,Las Palmas,Álex Suárez,ESP,31,1993,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Leganés,Dani Raba,ESP,28,1995,Left,RM,11,ST
ESP-La Liga,2024 - 2025,Leganés,Javi Hernández,ESP,26,1998,Left,RM,18,LB
ESP-La Liga,2024 - 2025,Leganés,Jorge Sáenz,ESP,27,1996,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Leganés,Juan Cruz,ESP,24,2000,Left,RM,16,RM
ESP-La Liga,2024 - 2025,Leganés,Miguel,ESP,24,1999,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Leganés,Seydouba Cissé,GUI,23,2001,Right,CM,2,CDM
ESP-La Liga,2024 - 2025,Leganés,Valentin Rosier,FRA,27,1996,Right,RB,2,CDM
ESP-La Liga,2024 - 2025,Leganés,Yvan Neyou,CMR,27,1997,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Mallorca,Antonio Sánchez,ESP,27,1997,Right,RM,14,CM
ESP-La Liga,2024 - 2025,Mallorca,Copete,ESP,24,1999,Left,CB,10,CB
ESP-La Liga,2024 - 2025,Mallorca,Cyle Larin,CAN,29,1995,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Mallorca,Dani Rodríguez,ESP,36,1988,Right,CAM,16,RM
ESP-La Liga,2024 - 2025,Mallorca,Johan Mojica,COL,31,1992,Left,LB,13,LB
ESP-La Liga,2024 - 2025,Mallorca,Manu Morlanes,ESP,25,1999,Right,CM,1,CDM
ESP-La Liga,2024 - 2025,Mallorca,Martin Valjent,SVK,28,1995,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Mallorca,Omar Mascarell,EQG,31,1993,Right,CM,10,CB
ESP-La Liga,2024 - 2025,Mallorca,Pablo Maffeo,ESP,27,1997,Right,RB,18,LB
ESP-La Liga,2024 - 2025,Mallorca,Samu Costa,POR,23,2000,Left,CDM,2,CDM
ESP-La Liga,2024 - 2025,Mallorca,Sergi Darder,ESP,30,1993,Right,LM,7,CM
ESP-La Liga,2024 - 2025,Mallorca,Takuma Asano,JPN,29,1994,Right,RM,12,ST
ESP-La Liga,2024 - 2025,Mallorca,Vedat Muriqi,KVX,30,1994,Left,ST,3,ST
ESP-La Liga,2024 - 2025,Osasuna,Abel Bretones,ESP,23,2000,Left,LB,18,LB
ESP-La Liga,2024 - 2025,Osasuna,Aimar Oroz,ESP,22,2001,Right,CM,0,RM
ESP-La Liga,2024 - 2025,Osasuna,Ante Budimir,CRO,33,1991,Left,ST,17,ST
ESP-La Liga,2024 - 2025,Osasuna,Bryan Zaragoza,ESP,22,2001,Right,LM,16,RM
ESP-La Liga,2024 - 2025,Osasuna,Catena,ESP,29,1994,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Osasuna,Lucas Torró,ESP,30,1994,Right,CDM,2,CDM
ESP-La Liga,2024 - 2025,Osasuna,Pablo Ibáñez,ESP,25,1998,Right,CM,14,CM
ESP-La Liga,2024 - 2025,Osasuna,Rubén García,ESP,31,1993,Left,RM,9,CAM
ESP-La Liga,2024 - 2025,Rayo Vallecano,Abdul Mumin,GHA,26,1998,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Rayo Vallecano,Andrei Ratiu,ROU,26,1998,Right,RB,13,LB
ESP-La Liga,2024 - 2025,Rayo Vallecano,Florian Lejeune,FRA,33,1991,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Rayo Vallecano,Pathé Ciss,SEN,30,1994,Right,CDM,4,CB
ESP-La Liga,2024 - 2025,Rayo Vallecano,Pedro Díaz,ESP,26,1998,Right,CM,12,ST
ESP-La Liga,2024 - 2025,Rayo Vallecano,Pep Chavarría,ESP,26,1998,Left,LB,18,LB
ESP-La Liga,2024 - 2025,Rayo Vallecano,Randy Nteka,ANG,26,1997,Left,ST,12,ST
ESP-La Liga,2024 - 2025,Rayo Vallecano,Sergio Camello,ESP,23,2001,Right,ST,3,ST
ESP-La Liga,2024 - 2025,Rayo Vallecano,Unai López,ESP,28,1995,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Rayo Vallecano,Álvaro García,ESP,31,1992,Left,LM,9,CAM
ESP-La Liga,2024 - 2025,Rayo Vallecano,Óscar Valentín,ESP,29,1994,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Real Madrid,Antonio Rüdiger,GER,31,1993,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Real Madrid,Arda Güler,TUR,19,2005,Left,RM,16,RM
ESP-La Liga,2024 - 2025,Real Madrid,Aurélien Tchouaméni,FRA,24,2000,Right,CDM,15,CB
ESP-La Liga,2024 - 2025,Real Madrid,Dani Ceballos,ESP,27,1996,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Real Madrid,Eduardo Camavinga,FRA,21,2002,Left,CM,19,CM
ESP-La Liga,2024 - 2025,Real Madrid,Federico Valverde,URU,26,1998,Right,CM,7,CM
ESP-La Liga,2024 - 2025,Real Madrid,Fran Garcia,ESP,24,1999,Left,LB,13,LB
ESP-La Liga,2024 - 2025,Real Madrid,Jude Bellingham,ENG,21,2003,Right,CAM,9,CAM
ESP-La Liga,2024 - 2025,Real Madrid,Kylian Mbappé,FRA,25,1998,Right,ST,11,ST
ESP-La Liga,2024 - 2025,Real Madrid,Luka Modrić,CRO,38,1985,Right,CM,7,CM
ESP-La Liga,2024 - 2025,Real Madrid,Rodrygo,BRA,23,2001,Right,RW,0,RM
ESP-La Liga,2024 - 2025,Real Madrid,Éder Militão,BRA,26,1998,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Real Sociedad,Brais Méndez,ESP,27,1997,Left,CM,12,ST
ESP-La Liga,2024 - 2025,Real Sociedad,Javi López,ESP,22,2002,Left,LB,18,LB
ESP-La Liga,2024 - 2025,Real Sociedad,Luka Sučić,CRO,21,2002,Left,CM,6,RM
ESP-La Liga,2024 - 2025,Real Sociedad,Nayef Aguerd,MAR,28,1996,Left,CB,15,CB
ESP-La Liga,2024 - 2025,Real Sociedad,Pablo Marín,ESP,21,2003,Right,CM,14,CM
ESP-La Liga,2024 - 2025,Real Sociedad,Sergio Gómez,ESP,23,2000,Left,LM,13,LB
ESP-La Liga,2024 - 2025,Real Sociedad,Sheraldo Becker,SUR,29,1995,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Real Sociedad,Takefusa Kubo,JPN,23,2001,Left,RM,0,RM
ESP-La Liga,2024 - 2025,Sevilla,Adrià Pedrosa,ESP,26,1998,Left,LB,18,LB
ESP-La Liga,2024 - 2025,Sevilla,Albert Sambi Lokonga,BEL,24,1999,Right,CM,14,CM
ESP-La Liga,2024 - 2025,Sevilla,Carmona,ESP,22,2002,Right,RB,2,CDM
ESP-La Liga,2024 - 2025,Sevilla,Chidera Ejuke,NGA,26,1998,Right,LM,16,RM
ESP-La Liga,2024 - 2025,Sevilla,Djibril Sow,SUI,27,1997,Right,CM,10,CB
ESP-La Liga,2024 - 2025,Sevilla,Dodi Lukebakio,BEL,26,1997,Left,RM,0,RM
ESP-La Liga,2024 - 2025,Sevilla,Juanlu Sánchez,ESP,20,2003,Right,RB,19,CM
ESP-La Liga,2024 - 2025,Sevilla,Kike Salas,ESP,22,2002,Left,CB,4,CB
ESP-La Liga,2024 - 2025,Sevilla,Loïc Bade,FRA,24,2000,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Sevilla,Lucien Agoume,FRA,22,2002,Right,CDM,2,CDM
ESP-La Liga,2024 - 2025,Sevilla,Nemanja Gudelj,SRB,32,1991,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Sevilla,Peque,ESP,21,2002,Right,CAM,12,ST
ESP-La Liga,2024 - 2025,Valencia,César Tárrega,ESP,22,2002,Right,CB,4,CB
ESP-La Liga,2024 - 2025,Valencia,Diego López,ESP,22,2002,Right,LM,0,RM
ESP-La Liga,2024 - 2025,Valencia,Dimitri Foulquier,FRA,31,1993,Right,RB,18,LB
ESP-La Liga,2024 - 2025,Valencia,Enzo Barrenechea,ARG,23,2001,Right,CM,5,CDM
ESP-La Liga,2024 - 2025,Valencia,Hugo Duro,ESP,24,1999,Left,ST,3,ST
ESP-La Liga,2024 - 2025,Valencia,Javier Guerra,ESP,21,2003,Right,RB,7,CM
ESP-La Liga,2024 - 2025,Valencia,Jesus Vazquez,ESP,21,2003,Left,LB,14,CM
ESP-La Liga,2024 - 2025,Valencia,Luis Rioja,ESP,30,1993,Left,RM,0,RM
ESP-La Liga,2024 - 2025,Valladolid,Anuar,MAR,29,1995,Right,RM,8,CB
ESP-La Liga,2024 - 2025,Valladolid,David Torres,ESP,21,2003,Left,CB,10,CB
ESP-La Liga,2024 - 2025,Valladolid,Eray Cömert,SUI,26,1998,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Valladolid,Javi Sánchez,ESP,27,1997,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Valladolid,Kike Pérez,ESP,27,1997,Left,CM,8,CB
ESP-La Liga,2024 - 2025,Valladolid,Luis Pérez,ESP,29,1995,Right,RB,18,LB
ESP-La Liga,2024 - 2025,Valladolid,Mamadou Sylla,SEN,30,1994,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Valladolid,Marcos André,BRA,27,1996,Right,ST,12,ST
ESP-La Liga,2024 - 2025,Valladolid,Mario Martín,ESP,20,2004,Right,CM,1,CDM
ESP-La Liga,2024 - 2025,Valladolid,Raúl Moro,ESP,21,2002,Right,LW,0,RM
ESP-La Liga,2024 - 2025,Valladolid,Stanko Jurić,CRO,27,1996,Right,CDM,1,CDM
ESP-La Liga,2024 - 2025,Villarreal,Alex Baena,ESP,23,2001,Right,LM,9,CAM
ESP-La Liga,2024 - 2025,Villarreal,Juan Foyth,ARG,26,1998,Right,CB,10,CB
ESP-La Liga,2024 - 2025,Villarreal,Logan Costa,CPV,23,2001,Right,CB,15,CB
ESP-La Liga,2024 - 2025,Villarreal,Nicolas Pépé,CIV,29,1995,Left,RM,16,RM
ESP-La Liga,2024 - 2025,Villarreal,Pape Gueye,SEN,25,1999,Left,CM,2,CDM
ESP-La Liga,2024 - 2025,Villarreal,Santi Comesaña,ESP,27,1996,Right,CM,2,CDM
ESP-La Liga,2024 - 2025,Villarreal,Sergi Cardona,ESP,25,1999,Left,LB,13,LB
ESP-La Liga,2024 - 2025,Villarreal,Thierno Barry,FRA,21,2002,Right,ST,17,ST
ESP-La Liga,2024 - 2025,Villarreal,Willy Kambwala,FRA,19,2004,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Angers,Emmanuel Biumla,FRA,19,2005,Right,CB,8,CB
FRA-Ligue 1,2024 - 2025,Angers,Esteban Lepaul,FRA,24,2000,Right,ST,3,ST
FRA-Ligue 1,2024 - 2025,Angers,Florent Hanin,ALG,34,1990,Left,LB,13,LB
FRA-Ligue 1,2024 - 2025,Angers,Himad Abdelli,ALG,24,1999,Right,CAM,7,CM
FRA-Ligue 1,2024 - 2025,Angers,Jim Allevinah,GAB,29,1995,Right,RM,6,RM
FRA-Ligue 1,2024 - 2025,Angers,Jordan Lefort,FRA,30,1993,Left,CB,4,CB
FRA-Ligue 1,2024 - 2025,Angers,Lilian Raolisoa,FRA,24,2000,Right,RB,14,CM
FRA-Ligue 1,2024 - 2025,Angers,Yassin Belkhdim,FRA,22,2002,Right,CM,1,CDM
FRA-Ligue 1,2024 - 2025,Auxerre,Ado Onaiwu,JPN,28,1995,Right,ST,3,ST
FRA-Ligue 1,2024 - 2025,Auxerre,Clément Akpa,CIV,22,2001,Left,CB,4,CB
FRA-Ligue 1,2024 - 2025,Auxerre,Elisha Owusu,GHA,26,1997,Right,CDM,1,CDM
FRA-Ligue 1,2024 - 2025,Auxerre,Gabriel Osho,NGA,25,1998,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Auxerre,Gideon Mensah,GHA,26,1998,Left,LB,18,LB
FRA-Ligue 1,2024 - 2025,Auxerre,Hamed Junior Traorè,CIV,24,2000,Right,LM,11,ST
FRA-Ligue 1,2024 - 2025,Auxerre,Han-Noah Massengo,FRA,23,2001,Right,CDM,14,CM
FRA-Ligue 1,2024 - 2025,Auxerre,Ki-Jana Hoever,NED,22,2002,Right,RB,18,LB
FRA-Ligue 1,2024 - 2025,Auxerre,Kévin Danois,FRA,20,2004,Right,CM,1,CDM
FRA-Ligue 1,2024 - 2025,Auxerre,Lassine Sinayoko,MLI,24,1999,Right,ST,16,RM
FRA-Ligue 1,2024 - 2025,Auxerre,Paul Joly,FRA,24,2000,Right,RB,1,CDM
FRA-Ligue 1,2024 - 2025,Auxerre,Sinaly Diomande,CIV,23,2001,Right,CB,4,CB
FRA-Ligue 1,2024 - 2025,Auxerre,Theo Bair,CAN,24,1999,Right,ST,12,ST
FRA-Ligue 1,2024 - 2025,Brest,Abdallah Sima,SEN,23,2001,Right,LM,3,ST
FRA-Ligue 1,2024 - 2025,Brest,Edimilson Fernandes,SUI,28,1996,Right,CDM,14,CM
FRA-Ligue 1,2024 - 2025,Brest,Hugo Magnetti,FRA,26,1998,Right,CDM,1,CDM
FRA-Ligue 1,2024 - 2025,Brest,Julien Le Cardinal,FRA,26,1997,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Brest,Kamory Doumbia,MLI,21,2003,Right,CAM,19,CM
FRA-Ligue 1,2024 - 2025,Brest,Kenny Lala,MAD,32,1991,Right,RB,7,CM
FRA-Ligue 1,2024 - 2025,Brest,Ludovic Ajorque,FRA,30,1994,Left,ST,17,ST
FRA-Ligue 1,2024 - 2025,Brest,Mahdi Camara,FRA,26,1998,Right,CM,13,LB
FRA-Ligue 1,2024 - 2025,Brest,Massadio Haïdara,MLI,31,1992,Left,LB,14,CM
FRA-Ligue 1,2024 - 2025,Brest,Mathias Pereira Lage,POR,27,1996,Right,LW,16,RM
FRA-Ligue 1,2024 - 2025,Brest,Pierre Lees-Melou,FRA,31,1993,Right,CDM,5,CDM
FRA-Ligue 1,2024 - 2025,Brest,Romain Del Castillo,FRA,28,1996,Left,RW,16,RM
FRA-Ligue 1,2024 - 2025,Le Havre,Abdoulaye Touré,GUI,30,1994,Right,CDM,2,CDM
FRA-Ligue 1,2024 - 2025,Le Havre,Antoine Joujou,FRA,21,2003,Right,LM,12,ST
FRA-Ligue 1,2024 - 2025,Le Havre,Arouna Sangante,SEN,22,2002,Right,CB,8,CB
FRA-Ligue 1,2024 - 2025,Le Havre,Christopher Operi,CIV,27,1997,Left,LB,14,CM
FRA-Ligue 1,2024 - 2025,Le Havre,Etienne Youte Kinkoue,FRA,22,2002,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Le Havre,Gautier Lloris,FRA,29,1995,Left,CB,4,CB
FRA-Ligue 1,2024 - 2025,Le Havre,Issa Soumaré,SEN,23,2000,Right,LM,16,RM
FRA-Ligue 1,2024 - 2025,Le Havre,Josué Casimir,HAI,22,2001,Right,RM,16,RM
FRA-Ligue 1,2024 - 2025,Le Havre,Junior Mwanga,FRA,21,2003,Right,CDM,14,CM
FRA-Ligue 1,2024 - 2025,Le Havre,Loïc Nego,HUN,33,1991,Right,RB,18,LB
FRA-Ligue 1,2024 - 2025,Le Havre,Rassoul Ndiaye,SEN,22,2001,Right,CM,14,CM
FRA-Ligue 1,2024 - 2025,Le Havre,Timothee Pembele,FRA,21,2002,Right,RB,8,CB
FRA-Ligue 1,2024 - 2025,Le Havre,Yanis Zouaoui,ALG,30,1994,Left,LB,14,CM
FRA-Ligue 1,2024 - 2025,Le Havre,Yassine Kechta,MAR,22,2002,Left,CM,2,CDM
FRA-Ligue 1,2024 - 2025,Lens,Abdukodir Khusanov,UZB,20,2004,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Lens,Adrien Thomasson,FRA,30,1993,Right,CM,13,LB
FRA-Ligue 1,2024 - 2025,Lens,Anass Zaroury,MAR,23,2000,Right,LW,16,RM
FRA-Ligue 1,2024 - 2025,Lens,Andy Diouf,FRA,21,2003,Left,CM,6,RM
FRA-Ligue 1,2024 - 2025,Lens,Angelo Fulgini,FRA,27,1996,Right,CAM,6,RM
FRA-Ligue 1,2024 - 2025,Lens,Deiver Machado,COL,30,1993,Left,LB,18,LB
FRA-Ligue 1,2024 - 2025,Lens,Facundo Medina,ARG,25,1999,Left,CB,5,CDM
FRA-Ligue 1,2024 - 2025,Lens,Florian Sotoca,FRA,33,1990,Right,ST,6,RM
FRA-Ligue 1,2024 - 2025,Lens,Jonathan Gradit,FRA,31,1992,Right,CB,4,CB
FRA-Ligue 1,2024 - 2025,Lens,Kevin Danso,AUT,25,1998,Right,CB,10,CB
FRA-Ligue 1,2024 - 2025,Lens,M'Bala Nzola,ANG,27,1996,Left,ST,3,ST
